1,1,1,147,69,78,0,0
2,1,2,144,76,68,0,0
3,1,3,150,72,78,0,0
4,1,4,142,68,74,0,0
5,1,5,160,77,83,0,0
6,1,6,145,73,72,0,0
7,1,7,145,79,66,0,0
8,1,8,140,67,73,0,0
9,1,9,159,81,78,0,0
10,1,10,135,70,65,0,0
11,1,11,144,76,68,0,0
12,1,12,145,72,73,0,0
13,1,13,132,62,70,0,0
14,1,14,149,82,67,0,0
15,1,15,142,75,67,0,0
16,2,16,294,66,83,75,70
17,2,17,292,70,72,80,70
18,2,18,289,72,76,67,74
19,2,19,286,67,76,79,64
20,2,20,290,66,71,82,71
21,2,21,283,69,70,67,77
22,2,22,307,86,71,84,66
23,2,23,289,74,75,74,66
24,2,24,289,70,67,75,77
25,2,25,277,76,65,66,70
26,2,26,281,72,80,69,60
27,2,27,284,73,65,73,73
28,2,28,289,66,69,73,81
29,2,29,301,77,81,80,63
30,2,30,305,77,73,78,77
31,3,28,207,68,82,57,0
32,3,29,216,69,76,71,0
33,3,30,225,77,71,77,0
34,3,1,213,77,68,68,0
35,3,2,201,62,69,70,0
36,3,3,221,68,76,77,0
37,3,4,240,76,87,77,0
38,3,5,206,65,65,76,0
39,3,6,238,78,83,77,0
40,3,7,224,73,71,80,0
41,3,8,222,80,75,67,0
42,3,9,225,72,67,86,0
43,3,10,200,64,76,60,0
44,3,11,210,82,59,69,0
45,3,12,228,73,74,81,0
46,4,13,220,80,70,70,0
47,4,14,213,68,74,71,0
48,4,15,214,60,75,79,0
49,4,16,217,74,71,72,0
50,4,17,202,70,69,63,0
51,4,18,221,68,75,78,0
52,4,19,201,69,67,65,0
53,4,20,215,71,69,75,0
54,4,21,207,74,68,65,0
55,4,22,199,67,60,72,0
56,4,23,218,70,77,71,0
57,4,24,228,77,77,74,0
58,4,25,227,78,73,76,0
59,4,26,221,74,79,68,0
60,4,27,197,63,64,70,0
61,5,25,141,66,75,0,0
62,5,26,153,71,82,0,0
63,5,27,137,67,70,0,0
64,5,28,147,73,74,0,0
65,5,29,160,86,74,0,0
66,5,30,136,65,71,0,0
67,5,1,143,78,65,0,0
68,5,2,152,77,75,0,0
69,5,3,150,74,76,0,0
70,5,4,143,70,73,0,0
71,5,5,127,66,61,0,0
72,5,6,143,76,67,0,0
73,5,7,144,64,80,0,0
74,5,8,138,72,66,0,0
75,5,9,144,74,70,0,0
76,6,10,319,78,85,85,71
77,6,11,312,69,80,78,85
78,6,12,302,85,66,71,80
79,6,13,290,73,73,65,79
80,6,14,286,75,68,71,72
81,6,15,297,79,78,72,68
82,6,16,305,80,70,77,78
83,6,17,289,76,77,64,72
84,6,18,291,75,71,61,84
85,6,19,296,77,72,82,65
86,6,20,284,69,74,73,68
87,6,21,287,76,63,68,80
88,6,22,283,67,68,79,69
89,6,23,295,78,67,72,78
90,6,24,275,68,64,68,75
91,7,22,308,77,77,73,81
92,7,23,309,73,86,73,77
93,7,24,295,75,82,62,76
94,7,25,283,73,72,69,69
95,7,26,312,81,81,74,76
96,7,27,312,80,81,76,75
97,7,28,303,73,88,76,66
98,7,29,281,65,70,70,76
99,7,30,269,67,65,75,62
100,7,1,285,63,74,81,67
101,7,2,275,74,68,65,68
102,7,3,277,71,63,69,74
103,7,4,288,68,63,75,82
104,7,5,267,68,69,65,65
105,7,6,298,77,76,69,76
106,8,7,221,67,78,76,0
107,8,8,236,77,75,84,0
108,8,9,202,63,68,71,0
109,8,10,226,69,81,76,0
